3870,"morggkatherinee","Is this Morgan from musically"
3873,"morggkatherinee","Ok thank u so much"
3869,"morggkatherinee","Can u add me on Snapchat plzz "
3884,"morggkatherinee","hi"
61666,"morggkatherinee","Thank you"
3883,"morggkatherinee","Thank you I love you so much "
3885,"morggkatherinee","Pls follow me plz"
3875,"morggkatherinee","Hey"
3924,"morggkatherinee","Yea"
3929,"morggkatherinee","Omg Morgan Katherine you are one of my favorite musers!! It would mean the world to me if you could make me a bff on musical.ly. I love your musical.lys and your soooooo pretty!!!!! ❤️❤️❤️❤️"
3896,"morggkatherinee"," 😱 this is so cool thanks so much"
3902,"morggkatherinee","Please notice me "
3904,"morggkatherinee","Can I get a BFF"
3931,"morggkatherinee","I love your Musicallys!! 💕 and you are super Gorgeous I wish I could look like Youu! 😍🙌🏼"
3915,"morggkatherinee","Hey"
3928,"morggkatherinee","It would be amazing if you answered "
3903,"morggkatherinee","I mean your a person and I'm a person so I don't want to make it seem like I don't care what you have to say. I just want to get to know you :)"
3901,"morggkatherinee","I love ur musically and u inspire me and ur very pretty💕💜"
3920,"morggkatherinee","im a fan 9n music.ly can u plz follow me or bff me"
61668,"morggkatherinee","awh thank you so so much!"
3914,"morggkatherinee","Hi I love your musical.ly"
3917,"morggkatherinee","Ilysm"
3935,"morggkatherinee","?"
5547,"morggkatherinee","Yes "
3936,"morggkatherinee","No problem your an amazing person u deserve support"
3916,"morggkatherinee","My name is Aundria"
3899,"morggkatherinee","Hi Morgan I'm from musical.ly I was wondering if I could have a BFF plz I'm begging u"
3921,"morggkatherinee","omg you actually responded"
3932,"morggkatherinee","*on"
3905,"morggkatherinee","Heyy "
2818,"morggkatherinee","Omg he Morgan my name is Hudson I am 13 year old boy and I live in California. I used to talk to Athena lol. I felt so cool because I used to text your Best friend lol. Um but you are really pretty and I love your musical.lys. I LOVE YOU SO MUCH. Btw I am your biggest fan lol being straight up.❤️😘❤️😘"
3926,"morggkatherinee","Hey is this Morgan? :)"
3895,"morggkatherinee","Yea sure"
3933,"morggkatherinee","OMG thank you for answering! Your musicallys are my lifeee and your sc story "
61667,"morggkatherinee","No problem and really thanks I can get it for Christmas 😂😂 anyways "
3937,"morggkatherinee","Yeah "
3927,"morggkatherinee","I just tried calling you "
3722,"morggkatherinee","Hey I'm one of your fans and I like your musically"
3925,"morggkatherinee"," Yess I love u and he musically ur Soo good "
3898,"morggkatherinee","Hi I'm a fan "
3922,"morggkatherinee","Yea"
3897,"morggkatherinee","???"
3900,"morggkatherinee","So text me on that number"
3923,"morggkatherinee","OMG PLZ RESPOND AND CAN I PLEASE PLEASE PLEASE HAVE A DUET 😘😘😘😘😘😘😘😘😘❤️❤️❤️❤️💖💖💖"
3918,"morggkatherinee","Yes please! I'm a fan "
3930,"morggkatherinee","Okay"
3961,"morggkatherinee","no. "
3940,"morggkatherinee","Omg hayyyyy "
3950,"morggkatherinee","Hey morgan "
3946,"morggkatherinee","Even awesome "
3942,"morggkatherinee","hey!! I love your musical.lys they are amazing! Your also very pretty!!!"
3943,"morggkatherinee","Will u do a live Ly"
3938,"morggkatherinee","princess_honesti is my user name"
3955,"morggkatherinee","That would be awesome, I wanted to let u know that ur an amazing person :) - Presley "
3948,"morggkatherinee","Sounds awesome i cant wait😊😇💖💖 "
3963,"morggkatherinee","Sure , is this really you ?"
3962,"morggkatherinee","doesn't sound cool morgan"
3968,"morggkatherinee","oh well"
3958,"morggkatherinee","Yes it sounds amazing"
3953,"morggkatherinee","Yeah that's perfect "
3970,"morggkatherinee","Okay"
3954,"morggkatherinee","Yesss "
61670,"morggkatherinee","love u lots Morgan "
3949,"morggkatherinee","Is this really Morgancatherine "
61671,"morggkatherinee","I am not paying 30$ for a makeup kit, no offense "
3951,"morggkatherinee","People say you got hacked"
3939,"morggkatherinee","Okay look foward to it!!!!!"
3957,"morggkatherinee","Hey is this Morgan Katherine I'm a really big fan of yours. I just wanted to say you're my inspiration I mean you don't curse, you're really pretty, and really nice. So thank you❤️ I love you💖"
3952,"morggkatherinee","wasuh morgan"
3959,"morggkatherinee"," fake"
3965,"morggkatherinee","A lot of people said that you were hacked haha is this really you? "
3960,"morggkatherinee","fake fake fake"
3941,"morggkatherinee","Ok"
3945,"morggkatherinee","Can I get a BFF on musical.ly my name ic cheata1111"
3947,"morggkatherinee","ya can u bff me or follow me on music.ly my username is princess_honesti "
3964,"morggkatherinee","Yea that sounds really cool thank you!"
3966,"morggkatherinee","Even though that made no sense Bc even if you weren't her you would "
3967,"morggkatherinee","say yes 😂"
3944,"morggkatherinee","Cool"
3969,"morggkatherinee","Hi"
61669,"morggkatherinee","Thanks a lot"
3919,"morggkatherinee","Post now"
3833,"morggkatherinee","Omg I love u so much ur so pretty and I'm so jeal"
61672,"morggkatherinee","yes!"
3994,"morggkatherinee","Okay "
3979,"morggkatherinee","Yes you are awesome"
3983,"morggkatherinee","is this Morgan? if so jus wanna tell you how amazing you are! enjoy your day :)"
3972,"morggkatherinee","hey I got a question "
3980,"morggkatherinee","Hi"
3990,"morggkatherinee","anytime and thank you for sending me updates!!"
3974,"morggkatherinee","Send me a pic"
3991,"morggkatherinee"," Cool"
3978,"morggkatherinee","Is it really you😍😍"
61674,"morggkatherinee","If you had a makeup kit I would buy 20 of them!!!"
3976,"morggkatherinee","Np idk what to talk about but I wanna talk to u "
3971,"morggkatherinee","Hi you are amazing and I am such a big fan of you and you are gorgeous"
3989,"morggkatherinee","Yeah"
3981,"morggkatherinee","Will u ever be doing any live.ly"
3995,"morggkatherinee","Can you please BFF me on musically it would mean so much "
3992,"morggkatherinee","fantastic thanks so much"
3986,"morggkatherinee","Omg os rhis really you im a huge fan i love you"
3973,"morggkatherinee","Hey"
4020,"morggkatherinee","Hi !!❤️"
4019,"morggkatherinee","Can you follow me @GymCutie1"
